a,b,c,d,e
-1,0,0,0,0
-0.98995,0.0062198,0.0081908,0.0053637,-0.00060538
-0.9799,0.012108,0.016177,0.01077,-0.00094637
-0.96985,0.017672,0.023956,0.016207,-0.0010365
-0.9598,0.022922,0.031527,0.021664,-0.000889
-0.94975,0.027864,0.038889,0.027133,-0.00051671
-0.9397,0.032508,0.046041,0.032604,6.7817e-05
-0.92965,0.036862,0.052983,0.038067,0.0008524
-0.9196,0.040934,0.059714,0.043515,0.0018252
-0.90955,0.044733,0.066237,0.04894,0.0029747
-0.8995,0.048267,0.07255,0.054334,0.0042897
-0.88945,0.051545,0.078656,0.059691,0.0057595
-0.8794,0.054576,0.084555,0.065004,0.0073736
-0.86935,0.057367,0.09025,0.070267,0.0091218
-0.8593,0.059926,0.095743,0.075475,0.010994
-0.84925,0.062263,0.10103,0.080622,0.012982
-0.8392,0.064385,0.10613,0.085704,0.015075
-0.82915,0.0663,0.11103,0.090717,0.017265
-0.8191,0.068017,0.11573,0.095656,0.019544
-0.80905,0.069542,0.12025,0.10052,0.021903
-0.79899,0.070884,0.12458,0.1053,0.024335
-0.78894,0.072051,0.12873,0.11,0.026831
-0.77889,0.07305,0.13269,0.11461,0.029386
-0.76884,0.073888,0.13648,0.11913,0.031992
-0.75879,0.074572,0.1401,0.12356,0.034642
-0.74874,0.075111,0.14355,0.1279,0.037329
-0.73869,0.075509,0.14684,0.13215,0.040049
-0.72864,0.075776,0.14996,0.1363,0.042796
-0.71859,0.075916,0.15292,0.14035,0.045563
-0.70854,0.075937,0.15574,0.14431,0.048346
-0.69849,0.075845,0.1584,0.14817,0.051139
-0.68844,0.075646,0.16092,0.15193,0.053938
-0.67839,0.075346,0.16329,0.15559,0.056739
-0.66834,0.074952,0.16553,0.15915,0.059537
-0.65829,0.074468,0.16764,0.16261,0.062329
-0.64824,0.073901,0.16962,0.16598,0.06511
-0.63819,0.073255,0.17148,0.16925,0.067877
-0.62814,0.072537,0.17321,0.17242,0.070627
-0.61809,0.071751,0.17483,0.17549,0.073357
-0.60804,0.070902,0.17633,0.17847,0.076063
-0.59799,0.069995,0.17773,0.18135,0.078743
-0.58794,0.069034,0.17902,0.18414,0.081395
-0.57789,0.068025,0.18022,0.18684,0.084016
-0.56784,0.066971,0.18132,0.18945,0.086604
-0.55779,0.065877,0.18232,0.19196,0.089157
-0.54774,0.064746,0.18324,0.19439,0.091672
-0.53769,0.063583,0.18407,0.19673,0.09415
-0.52764,0.062392,0.18482,0.19899,0.096587
-0.51759,0.061175,0.1855,0.20116,0.098982
-0.50754,0.059937,0.1861,0.20325,0.10133
-0.49749,0.058681,0.18663,0.20525,0.10364
-0.48744,0.05741,0.1871,0.20718,0.10591
-0.47739,0.056127,0.1875,0.20904,0.10812
-0.46734,0.054835,0.18784,0.21081,0.11029
-0.45729,0.053537,0.18813,0.21252,0.11242
-0.44724,0.052236,0.18836,0.21415,0.11449
-0.43719,0.050934,0.18855,0.21571,0.11652
-0.42714,0.049634,0.18869,0.21721,0.11849
-0.41709,0.048338,0.18878,0.21864,0.12042
-0.40704,0.047049,0.18883,0.22,0.1223
-0.39698,0.045768,0.18885,0.22131,0.12412
-0.38693,0.044498,0.18883,0.22255,0.1259
-0.37688,0.043241,0.18878,0.22373,0.12763
-0.36683,0.041999,0.1887,0.22486,0.1293
-0.35678,0.040772,0.18859,0.22593,0.13093
-0.34673,0.039564,0.18846,0.22695,0.1325
-0.33668,0.038376,0.1883,0.22792,0.13403
-0.32663,0.037209,0.18813,0.22884,0.13551
-0.31658,0.036064,0.18793,0.22972,0.13693
-0.30653,0.034944,0.18773,0.23054,0.13831
-0.29648,0.033848,0.18751,0.23132,0.13964
-0.28643,0.03278,0.18727,0.23206,0.14091
-0.27638,0.031739,0.18703,0.23276,0.14214
-0.26633,0.030727,0.18678,0.23342,0.14333
-0.25628,0.029745,0.18653,0.23404,0.14446
-0.24623,0.028794,0.18627,0.23463,0.14555
-0.23618,0.027875,0.18601,0.23518,0.14658
-0.22613,0.026988,0.18574,0.23569,0.14758
-0.21608,0.026135,0.18548,0.23618,0.14852
-0.20603,0.025316,0.18522,0.23663,0.14942
-0.19598,0.024531,0.18497,0.23705,0.15028
-0.18593,0.023783,0.18472,0.23745,0.15108
-0.17588,0.02307,0.18447,0.23781,0.15185
-0.16583,0.022394,0.18424,0.23815,0.15257
-0.15578,0.021755,0.18401,0.23847,0.15324
-0.14573,0.021154,0.18379,0.23876,0.15387
-0.13568,0.020592,0.18358,0.23903,0.15446
-0.12563,0.020067,0.18338,0.23927,0.155
-0.11558,0.019582,0.18319,0.23949,0.1555
-0.10553,0.019136,0.18302,0.2397,0.15596
-0.095477,0.01873,0.18286,0.23988,0.15637
-0.085427,0.018363,0.18272,0.24004,0.15675
-0.075377,0.018037,0.18259,0.24018,0.15708
-0.065327,0.017751,0.18247,0.2403,0.15737
-0.055276,0.017506,0.18237,0.24041,0.15761
-0.045226,0.017301,0.18229,0.24049,0.15782
-0.035176,0.017137,0.18222,0.24056,0.15799
-0.025126,0.017014,0.18217,0.24061,0.15811
-0.015075,0.016931,0.18214,0.24065,0.15819
-0.0050251,0.01689,0.18212,0.24066,0.15823
0.0050251,0.01689,0.18212,0.24066,0.15823
0.015075,0.016931,0.18214,0.24065,0.15819
0.025126,0.017014,0.18217,0.24061,0.15811
0.035176,0.017137,0.18222,0.24056,0.15799
0.045226,0.017301,0.18229,0.24049,0.15782
0.055276,0.017506,0.18237,0.24041,0.15761
0.065327,0.017751,0.18247,0.2403,0.15737
0.075377,0.018037,0.18259,0.24018,0.15708
0.085427,0.018363,0.18272,0.24004,0.15675
0.095477,0.01873,0.18286,0.23988,0.15637
0.10553,0.019136,0.18302,0.2397,0.15596
0.11558,0.019582,0.18319,0.23949,0.1555
0.12563,0.020067,0.18338,0.23927,0.155
0.13568,0.020592,0.18358,0.23903,0.15446
0.14573,0.021154,0.18379,0.23876,0.15387
0.15578,0.021755,0.18401,0.23847,0.15324
0.16583,0.022394,0.18424,0.23815,0.15257
0.17588,0.02307,0.18447,0.23781,0.15185
0.18593,0.023783,0.18472,0.23745,0.15108
0.19598,0.024531,0.18497,0.23705,0.15028
0.20603,0.025316,0.18522,0.23663,0.14942
0.21608,0.026135,0.18548,0.23618,0.14852
0.22613,0.026988,0.18574,0.23569,0.14758
0.23618,0.027875,0.18601,0.23518,0.14658
0.24623,0.028794,0.18627,0.23463,0.14555
0.25628,0.029745,0.18653,0.23404,0.14446
0.26633,0.030727,0.18678,0.23342,0.14333
0.27638,0.031739,0.18703,0.23276,0.14214
0.28643,0.03278,0.18727,0.23206,0.14091
0.29648,0.033848,0.18751,0.23132,0.13964
0.30653,0.034944,0.18773,0.23054,0.13831
0.31658,0.036064,0.18793,0.22972,0.13693
0.32663,0.037209,0.18813,0.22884,0.13551
0.33668,0.038376,0.1883,0.22792,0.13403
0.34673,0.039564,0.18846,0.22695,0.1325
0.35678,0.040772,0.18859,0.22593,0.13093
0.36683,0.041999,0.1887,0.22486,0.1293
0.37688,0.043241,0.18878,0.22373,0.12763
0.38693,0.044498,0.18883,0.22255,0.1259
0.39698,0.045768,0.18885,0.22131,0.12412
0.40704,0.047049,0.18883,0.22,0.1223
0.41709,0.048338,0.18878,0.21864,0.12042
0.42714,0.049634,0.18869,0.21721,0.11849
0.43719,0.050934,0.18855,0.21571,0.11652
0.44724,0.052236,0.18836,0.21415,0.11449
0.45729,0.053537,0.18813,0.21252,0.11242
0.46734,0.054835,0.18784,0.21081,0.11029
0.47739,0.056127,0.1875,0.20904,0.10812
0.48744,0.05741,0.1871,0.20718,0.10591
0.49749,0.058681,0.18663,0.20525,0.10364
0.50754,0.059937,0.1861,0.20325,0.10133
0.51759,0.061175,0.1855,0.20116,0.098982
0.52764,0.062392,0.18482,0.19899,0.096587
0.53769,0.063583,0.18407,0.19673,0.09415
0.54774,0.064746,0.18324,0.19439,0.091672
0.55779,0.065877,0.18232,0.19196,0.089157
0.56784,0.066971,0.18132,0.18945,0.086604
0.57789,0.068025,0.18022,0.18684,0.084016
0.58794,0.069034,0.17902,0.18414,0.081395
0.59799,0.069995,0.17773,0.18135,0.078743
0.60804,0.070902,0.17633,0.17847,0.076063
0.61809,0.071751,0.17483,0.17549,0.073357
0.62814,0.072537,0.17321,0.17242,0.070627
0.63819,0.073255,0.17148,0.16925,0.067877
0.64824,0.073901,0.16962,0.16598,0.06511
0.65829,0.074468,0.16764,0.16261,0.062329
0.66834,0.074952,0.16553,0.15915,0.059537
0.67839,0.075346,0.16329,0.15559,0.056739
0.68844,0.075646,0.16092,0.15193,0.053938
