a,b,c,d,e
0,2.2568,1.1284,0.56419,0.22568
0.1,2.1683,1.1172,0.56278,0.22559
0.2,1.9231,1.0841,0.55858,0.22532
0.3,1.5745,1.0313,0.55164,0.22486
0.4,1.19,0.96154,0.54207,0.22424
0.5,0.83021,0.87878,0.53001,0.22343
0.6,0.53469,0.78724,0.51563,0.22245
0.7,0.31788,0.69127,0.49914,0.2213
0.8,0.17446,0.59499,0.48077,0.21997
0.9,0.088383,0.50197,0.46077,0.21848
1,0.041334,0.41511,0.43939,0.21683
1.1,0.017844,0.33648,0.41692,0.21501
1.2,0.0071113,0.26734,0.39362,0.21304
1.3,0.0026161,0.20821,0.36977,0.21092
1.4,0.00088842,0.15894,0.34564,0.20866
1.5,0.00027851,0.11893,0.32147,0.20625
1.6,8.0595e-05,0.087229,0.29749,0.20371
1.7,2.153e-05,0.062711,0.27393,0.20104
1.8,5.3092e-06,0.044192,0.25098,0.19824
1.9,1.2086e-06,0.030525,0.22881,0.19533
2,2.5396e-07,0.020667,0.20755,0.19231
2.1,4.9264e-08,0.013716,0.18733,0.18918
2.2,8.8215e-09,0.0089222,0.16824,0.18595
2.3,1.4582e-09,0.005689,0.15034,0.18264
2.4,2.2251e-10,0.0035556,0.13367,0.17924
2.5,3.1342e-11,0.0021783,0.11826,0.17576
2.6,4.0753e-12,0.0013081,0.1041,0.17221
2.7,4.8917e-13,0.00076992,0.091185,0.1686
2.8,5.4201e-14,0.00044421,0.079471,0.16493
2.9,5.5439e-15,0.00025121,0.068916,0.16121
3,5.2346e-16,0.00013925,0.059465,0.15745
3.1,4.5625e-17,7.5663e-05,0.051054,0.15365
3.2,3.671e-18,4.0298e-05,0.043615,0.14983
3.3,2.7266e-19,2.1037e-05,0.037073,0.14598
3.4,1.8694e-20,1.0765e-05,0.031356,0.14212
3.5,1.1832e-21,5.3994e-06,0.026387,0.13825
3.6,6.9129e-23,2.6546e-06,0.022096,0.13438
3.7,3.7284e-24,1.2793e-06,0.01841,0.13052
3.8,1.8562e-25,6.0429e-07,0.015262,0.12666
3.9,8.5312e-27,2.7979e-07,0.01259,0.12282
4,3.6194e-28,1.2698e-07,0.010333,0.119
4.1,1.4175e-29,5.6489e-08,0.0084392,0.1152
4.2,5.1247e-31,2.4632e-08,0.0068578,0.11144
4.3,1.7103e-32,1.0528e-08,0.005545,0.10772
4.4,5.2689e-34,4.4108e-09,0.0044611,0.10403
4.5,1.4984e-35,1.8113e-09,0.0035712,0.10039
4.6,3.9337e-37,7.2909e-10,0.0028445,0.096805
4.7,9.5329e-39,2.8767e-10,0.0022544,0.09327
4.8,2.1326e-40,1.1125e-10,0.0017778,0.089792
4.9,4.404e-42,4.2174e-11,0.001395,0.086375
5,8.3953e-44,1.5671e-11,0.0010891,0.083021
5.1,1.4774e-45,5.7076e-12,0.00084611,0.079734
5.2,2.3999e-47,2.0377e-12,0.00065403,0.076516
5.3,3.5988e-49,7.1306e-13,0.00050303,0.073369
5.4,4.9817e-51,2.4458e-13,0.00038496,0.070295
5.5,6.3658e-53,8.2233e-14,0.00029314,0.067296
5.6,7.5091e-55,2.7101e-14,0.0002221,0.064373
5.7,8.1766e-57,8.7544e-15,0.00016744,0.061528
5.8,8.219e-59,2.772e-15,0.00012561,0.058762
5.9,7.6264e-61,8.6033e-16,9.3751e-05,0.056076
6,6.5325e-63,2.6173e-16,6.9627e-05,0.053469
6.1,5.1653e-65,7.8047e-17,5.1452e-05,0.050943
6.2,3.7702e-67,2.2813e-17,3.7832e-05,0.048497
6.3,2.5403e-69,6.5359e-18,2.7678e-05,0.046132
6.4,1.5801e-71,1.8355e-18,2.0149e-05,0.043847
6.5,9.0723e-74,5.0526e-19,1.4595e-05,0.041642
6.6,4.8086e-76,1.3633e-19,1.0519e-05,0.039516
6.7,2.3527e-78,3.6056e-20,7.5432e-06,0.037468
6.8,1.0626e-80,9.3471e-21,5.3825e-06,0.035499
6.9,4.4304e-83,2.3752e-21,3.8215e-06,0.033606
7,1.7052e-85,5.916e-22,2.6997e-06,0.031788
7.1,6.0582e-88,1.4443e-22,1.8977e-06,0.030045
7.2,1.9869e-90,3.4564e-23,1.3273e-06,0.028375
7.3,6.0155e-93,8.1078e-24,9.2371e-07,0.026776
7.4,1.6812e-95,1.8642e-24,6.3964e-07,0.025247
7.5,4.3374e-98,4.2014e-25,4.4072e-07,0.023786
7.6,1.033e-100,9.2812e-26,3.0214e-07,0.022392
7.7,2.2709e-103,2.0097e-26,2.0611e-07,0.021063
7.8,4.6087e-106,4.2656e-27,1.399e-07,0.019796
7.9,8.634e-109,8.8743e-28,9.4481e-08,0.018591
8,1.4931e-111,1.8097e-28,6.3491e-08,0.017446
8.1,2.3836e-114,3.6174e-29,4.2453e-08,0.016358
8.2,3.5127e-117,7.0875e-30,2.8245e-08,0.015325
8.3,4.7786e-120,1.3612e-30,1.8698e-08,0.014346
8.4,6.0008e-123,2.5623e-31,1.2316e-08,0.013419
8.5,6.9563e-126,4.728e-32,8.072e-09,0.012542
8.6,7.444e-129,8.5514e-33,5.2641e-09,0.011713
8.7,7.3534e-132,1.516e-33,3.4158e-09,0.01093
8.8,6.7054e-135,2.6345e-34,2.2054e-09,0.010191
8.9,5.6444e-138,4.4873e-35,1.4168e-09,0.0094944
9,4.386e-141,7.4921e-36,9.0565e-10,0.0088383
9.1,3.1462e-144,1.2261e-36,5.7603e-10,0.0082211
9.2,2.0833e-147,1.9668e-37,3.6455e-10,0.0076408
9.3,1.2734e-150,3.0926e-38,2.2956e-10,0.0070958
9.4,7.1853e-154,4.7664e-39,1.4383e-10,0.0065844
9.5,3.7426e-157,7.2008e-40,8.9672e-11,0.0061049
9.6,1.7996e-160,1.0663e-40,5.5626e-11,0.0056559
9.7,7.9876e-164,1.5477e-41,3.4335e-11,0.0052357
9.8,3.2728e-167,2.202e-42,2.1087e-11,0.0048428
9.9,1.2379e-170,3.0708e-43,1.2886e-11,0.0044759
10,4.3221e-174,4.1977e-44,7.8354e-12,0.0041334
