a,b,c,d,e
0,1,1,1,1
0.1,0.7773,0.88754,0.94363,0.97744
0.2,0.57161,0.7773,0.88754,0.95489
0.3,0.39614,0.67137,0.832,0.93238
0.4,0.2579,0.57161,0.7773,0.90992
0.5,0.1573,0.4795,0.72367,0.88754
0.6,0.089686,0.39614,0.67137,0.86524
0.7,0.047715,0.3222,0.62062,0.84305
0.8,0.023652,0.2579,0.57161,0.82099
0.9,0.010909,0.20309,0.52452,0.79906
1,0.0046777,0.1573,0.4795,0.7773
1.1,0.0018628,0.11979,0.43668,0.7557
1.2,0.00068851,0.089686,0.39614,0.7343
1.3,0.00023603,0.065992,0.35797,0.7131
1.4,7.5013e-05,0.047715,0.3222,0.69212
1.5,2.209e-05,0.033895,0.28884,0.67137
1.6,6.0258e-06,0.023652,0.2579,0.65087
1.7,1.522e-06,0.01621,0.22933,0.63064
1.8,3.5586e-07,0.010909,0.20309,0.61067
1.9,7.7004e-08,0.0072096,0.17911,0.59099
2,1.5417e-08,0.0046777,0.1573,0.57161
2.1,2.8555e-09,0.0029795,0.13756,0.55253
2.2,4.8917e-10,0.0018628,0.11979,0.53377
2.3,7.7496e-11,0.0011432,0.10388,0.51534
2.4,1.1352e-11,0.00068851,0.089686,0.49725
2.5,1.5375e-12,0.00040695,0.0771,0.4795
2.6,1.9249e-13,0.00023603,0.065992,0.4621
2.7,2.2277e-14,0.00013433,0.056238,0.44506
2.8,2.3828e-15,7.5013e-05,0.047715,0.42838
2.9,2.3556e-16,4.1098e-05,0.040305,0.41208
3,2.152e-17,2.209e-05,0.033895,0.39614
3.1,1.8167e-18,1.1649e-05,0.028377,0.38059
3.2,1.4171e-19,6.0258e-06,0.023652,0.36541
3.3,1.0213e-20,3.0577e-06,0.019624,0.35062
3.4,6.8009e-22,1.522e-06,0.01621,0.33622
3.5,4.1838e-23,7.431e-07,0.013328,0.3222
3.6,2.3778e-24,3.5586e-07,0.010909,0.30857
3.7,1.2484e-25,1.6715e-07,0.008889,0.29532
3.8,6.0545e-27,7.7004e-08,0.0072096,0.28246
3.9,2.7124e-28,3.4792e-08,0.0058207,0.26999
4,1.1224e-29,1.5417e-08,0.0046777,0.2579
4.1,4.2902e-31,6.7e-09,0.0037419,0.24619
4.2,1.5146e-32,2.8555e-09,0.0029795,0.23486
4.3,4.9388e-34,1.1935e-09,0.0023614,0.2239
4.4,1.4874e-35,4.8917e-10,0.0018628,0.21331
4.5,4.137e-37,1.9662e-10,0.0014627,0.20309
4.6,1.0627e-38,7.7496e-11,0.0011432,0.19323
4.7,2.5212e-40,2.9953e-11,0.00088927,0.18373
4.8,5.5239e-42,1.1352e-11,0.00068851,0.17458
4.9,1.1177e-43,4.2189e-12,0.00053058,0.16577
